ESC Armed, Spooling up in 2 seconds
Time_ms,Pitch_deg,Error_deg,Gimbal_deg
66874,-11.40,11.40,-15.00
66894,-11.70,11.70,-15.00
66915,-11.85,11.85,-15.00
66935,-11.85,11.85,-15.00
66956,-11.85,11.85,-15.00
66976,-11.85,11.85,-15.00
66997,-11.85,11.85,-15.00
67017,-11.70,11.70,-15.00
67038,-11.70,11.70,-15.00
67058,-11.40,11.40,-15.00
67079,-11.25,11.25,-15.00
67099,-10.95,10.95,-15.00
67120,-10.65,10.65,-15.00
67140,-10.20,10.20,-15.00
67161,-9.75,9.75,-15.00
67181,-9.30,9.30,-14.22
67202,-8.70,8.70,-10.87
67222,-8.10,8.10,-8.12
67243,-7.20,7.20,-2.50
67263,-6.45,6.45,0.38
67283,-5.55,5.55,4.57
67304,-4.80,4.80,6.50
67324,-4.05,4.05,8.42
67345,-3.60,3.60,7.07
67365,-3.15,3.15,6.55
67386,-2.85,2.85,4.96
67406,-2.70,2.70,2.51
67427,-2.70,2.70,-0.63
67447,-2.55,2.55,-1.09
67468,-1.80,1.80,5.29
67488,-1.50,1.50,5.26
67509,-0.90,0.90,8.78
67529,-0.15,0.15,13.27
67550,0.75,-0.75,15.00
67570,1.65,-1.65,15.00
67591,2.25,-2.25,15.00
67611,2.55,-2.55,15.00
67632,2.85,-2.85,15.00
67652,2.85,-2.85,15.00
67673,2.85,-2.85,12.59
67693,2.70,-2.70,9.19
67714,2.55,-2.55,6.79
67734,2.10,-2.10,1.79
67755,1.80,-1.80,-0.29
67775,1.35,-1.35,-3.57
67795,0.90,-0.90,-6.14
67816,0.45,-0.45,-8.23
67836,0.00,0.00,-10.02
67857,-0.30,0.30,-9.95
67877,-0.60,0.60,-10.16
67898,-0.60,0.60,-7.29
67918,-0.75,0.75,-7.01
67939,-0.75,0.75,-5.31
67959,-0.75,0.75,-4.18
67980,-0.60,0.60,-1.79
68000,-0.60,0.60,-1.70
68021,-0.60,0.60,-1.65
68041,-0.60,0.60,-1.61
68062,-0.60,0.60,-1.59
68082,-0.60,0.60,-1.57
68103,-0.75,0.75,-3.19
68123,-0.60,0.60,-1.13
68144,-0.75,0.75,-2.90
68164,-0.60,0.60,-0.94
68185,-0.60,0.60,-1.14
68205,-0.45,0.45,0.37
68226,-0.45,0.45,-0.14
68246,-0.30,0.30,1.16
68267,-0.30,0.30,0.52
68287,-0.30,0.30,0.09
68307,-0.45,0.45,-1.83
68328,-0.45,0.45,-1.61
68348,-0.60,0.60,-3.09
68369,-0.75,0.75,-4.21
68389,-1.05,1.05,-6.72
68410,-1.20,1.20,-7.01
68430,-1.35,1.35,-7.33
68451,-1.50,1.50,-7.68
68471,-1.65,1.65,-8.03
68492,-1.65,1.65,-6.76
68512,-1.50,1.50,-4.28
68533,-1.35,1.35,-2.50
68553,-1.20,1.20,-1.18
68574,-0.90,0.90,1.46
68594,-0.60,0.60,3.48
68615,-0.30,0.30,5.08
68635,0.00,0.00,6.41
68656,0.15,-0.15,5.91
68676,0.30,-0.30,5.70
68697,0.45,-0.45,5.69
68717,0.45,-0.45,4.18
68738,0.30,-0.30,1.53
68758,0.15,-0.15,-0.36
68779,0.00,0.00,-1.75
68799,-0.30,0.30,-4.44
68819,-0.60,0.60,-6.49
68840,-0.90,0.90,-8.11
68860,-1.05,1.05,-7.81
68881,-1.20,1.20,-7.74
68901,-1.20,1.20,-6.18
68922,-1.35,1.35,-6.78
68942,-1.20,1.20,-4.04
68963,-1.20,1.20,-3.71
68983,-1.05,1.05,-1.86
69004,-1.05,1.05,-2.14
